Criteria,Distinguished (Full Marks),Proficient / Developing (Partial),No Marks (Zero),Max Pts
Video - Contestant face on video,(2.5) pts: Contestant face on video.,(1.25) pts Proficient / Developing: Partially demonstrates or addresses the criteria.,(0) pts: Fails to address the criteria.,(2.5) pts
Video - Video between 4 and 5 minutes,(2.5) pts: Video between 4 and 5 minutes.,(1.25) pts Proficient / Developing: Partially demonstrates or addresses the criteria.,(0) pts: Fails to address the criteria.,(2.5) pts
"Video - Qualty of content (the idea has merit in the market, presented vialable data to document demand and solution)","(10.0) pts: Qualty of content (the idea has merit in the market, presented vialable data to document demand and solution).",(5) pts Proficient / Developing: Partially demonstrates or addresses the criteria.,(0) pts: Fails to address the criteria.,(10) pts
Video - Speak dynamically vs reading same information on slide,(5.0) pts: Speak dynamically vs reading same information on slide.,(2.5) pts Proficient / Developing: Partially demonstrates or addresses the criteria.,(0) pts: Fails to address the criteria.,(5) pts
Problem/Pain Point - Clearly defined the problem/pain being addressed,(2.5) pts: Clearly defined the problem/pain being addressed.,(1.25) pts Proficient / Developing: Partially demonstrates or addresses the criteria.,(0) pts: Fails to address the criteria.,(2.5) pts
Problem/Pain Point - Outside data confirms the problem is huge (scalable),(5.0) pts: Outside data confirms the problem is huge (scalable).,(2.5) pts Proficient / Developing: Partially demonstrates or addresses the criteria.,(0) pts: Fails to address the criteria.,(5) pts
Problem/Pain Point - Examples of what other are doing to solve the problem,(2.5) pts: Examples of what other are doing to solve the problem.,(1.25) pts Proficient / Developing: Partially demonstrates or addresses the criteria.,(0) pts: Fails to address the criteria.,(2.5) pts
Business Venture Product and Service - Describe how your solution is better than the other options,(5.0) pts: Describe how your solution is better than the other options.,(2.5) pts Proficient / Developing: Partially demonstrates or addresses the criteria.,(0) pts: Fails to address the criteria.,(5) pts
Business Venture Product and Service - Describe how generates revenue (monetization),(5.0) pts: Describe how generates revenue (monetization).,(2.5) pts Proficient / Developing: Partially demonstrates or addresses the criteria.,(0) pts: Fails to address the criteria.,(5) pts
Business Venture Product and Service - Describe cost structure,(2.0) pts: Describe cost structure.,(1) pts Proficient / Developing: Partially demonstrates or addresses the criteria.,(0) pts: Fails to address the criteria.,(2) pts
Business Venture Product and Service - Explain value proposition,(3.0) pts: Explain value proposition.,(1.5) pts Proficient / Developing: Partially demonstrates or addresses the criteria.,(0) pts: Fails to address the criteria.,(3) pts
Market Size/Growth Potential - Analysis of the target market and growth trends,(2.5) pts: Analysis of the target market and growth trends.,(1.25) pts Proficient / Developing: Partially demonstrates or addresses the criteria.,(0) pts: Fails to address the criteria.,(2.5) pts
Market Size/Growth Potential - Clearly identify who the buyer is,(2.5) pts: Clearly identify who the buyer is.,(1.25) pts Proficient / Developing: Partially demonstrates or addresses the criteria.,(0) pts: Fails to address the criteria.,(2.5) pts
Market Size/Growth Potential - Identify who competitors are,(2.5) pts: Identify who competitors are.,(1.25) pts Proficient / Developing: Partially demonstrates or addresses the criteria.,(0) pts: Fails to address the criteria.,(2.5) pts
Market Size/Growth Potential - Strengthens and weakness of competitors,(2.5) pts: Strengthens and weakness of competitors.,(1.25) pts Proficient / Developing: Partially demonstrates or addresses the criteria.,(0) pts: Fails to address the criteria.,(2.5) pts
Marketing and Sales Strategy - Plan to acquire customers,(2.5) pts: Plan to acquire customers.,(1.25) pts Proficient / Developing: Partially demonstrates or addresses the criteria.,(0) pts: Fails to address the criteria.,(2.5) pts
Marketing and Sales Strategy - Identify Sales channels,(2.5) pts: Identify Sales channels.,(1.25) pts Proficient / Developing: Partially demonstrates or addresses the criteria.,(0) pts: Fails to address the criteria.,(2.5) pts
Marketing and Sales Strategy - Sale forcasts backed by data,(2.5) pts: Sale forcasts backed by data.,(1.25) pts Proficient / Developing: Partially demonstrates or addresses the criteria.,(0) pts: Fails to address the criteria.,(2.5) pts
Marketing and Sales Strategy - Identified risk factors that will impact sales goals,(2.5) pts: Identified risk factors that will impact sales goals.,(1.25) pts Proficient / Developing: Partially demonstrates or addresses the criteria.,(0) pts: Fails to address the criteria.,(2.5) pts
Financials - Past 3 years Provided,(5.0) pts: Past 3 years Provided.,(2.5) pts Proficient / Developing: Partially demonstrates or addresses the criteria.,(0) pts: Fails to address the criteria.,(5) pts
Financials - Forecast Profits and Expenses,(5.0) pts: Forecast Profits and Expenses.,(2.5) pts Proficient / Developing: Partially demonstrates or addresses the criteria.,(0) pts: Fails to address the criteria.,(5) pts
Financials - Detailed Breakdown,(5.0) pts: Detailed Breakdown.,(2.5) pts Proficient / Developing: Partially demonstrates or addresses the criteria.,(0) pts: Fails to address the criteria.,(5) pts
Current Management Team - Depth of expertise,(2.0) pts: Depth of expertise.,(1) pts Proficient / Developing: Partially demonstrates or addresses the criteria.,(0) pts: Fails to address the criteria.,(2) pts
Current Management Team - Demonstrate leadership is agile,(3.0) pts: Demonstrate leadership is agile.,(1.5) pts Proficient / Developing: Partially demonstrates or addresses the criteria.,(0) pts: Fails to address the criteria.,(3) pts
Use of Prize Money - Specific budget,(10.0) pts: Specific budget.,(5) pts Proficient / Developing: Partially demonstrates or addresses the criteria.,(0) pts: Fails to address the criteria.,(10) pts
