,
,
Business Nme,Jideofor Enterprise
,
Problem/Pain Point - 10 points,
2.5 - Clearly defined the problem/pain being addressed,1.5
5 - Outside data confirms the problem is huge (scalable),1
2.5 - Examples of what other are doing to solve the problem,0
Total,2.5
,
Business Venture Product and Service - 15 points,
5 - Describe how your solution is better than the other options,3
5 - Describe how generates revenue (monetization),2
2 - Describe cost structure,1
3 - Explain value proposition,2
Total,8
,
Market Size/Growth Potential - 10 points,
2.5 - Analysis of the target market and growth trends,2
2.5 - Clearly identify who the buyer is,1.5
2.5 - Identify who competitors are,1
2.5 - Strengthens and weakness of competitors,1
Total,5.5
,
Marketing and Sales Strategy - 10 points,
2.5 - Plan to acquire customers,1.5
2.5 - Identify Sales channels,1.5
2.5 - Sale forcasts backed by data,2
2.5 - Identified risk factors that will impact sales goals,0
Total,5
,
Financials - 15 points,
5 - Past 3 years Provided,1
5 - Forecast Profits and Expenses,1
5 - Detailed Breakdown ,2
Total,4
,
Current Management Team - 5 points,
2 - Depth of expertise,2
3 - Demonstrate leadership is agile,1
Total,3
,
Use of Prize Money - 10 points,
10 - Specific budget,8
Total,8
,
Conclusion - 5 points,
2 - Overall summary,0
2 - Highlighted key points,0
1 - Link in video to the Google Slide Deck,0
Total,0
,
Grand Total,36
,
Potential to be successful ,Moderate
Potential to hire others,Low
Potential to benefit their local community,Moderate
Use of AI,No violation
